Park,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Lassen Volcanic,2006,6795,6231,6289,7186,20568,43326,95757,85089,69602,34044,7857,5997
Lassen Volcanic,2005,7207,5946,7146,7620,21294,49790,90440,81669,53655,27263,7955,5550
Lassen Volcanic,2004,7318,4934,7612,9552,24648,54481,88936,83013,57542,27231,7881,6519
Lassen Volcanic,2003,8046,7068,7294,8403,19656,49339,94453,91650,72273,31890,7748,6564
Lassen Volcanic,2002,7941,6840,7506,8520,23456,51294,91554,82452,59986,32275,10322,6003
Lassen Volcanic,2001,5862,6417,7785,6875,25775,54387,84823,81285,55552,29998,10166,7770
Lassen Volcanic,2000,6132,7839,8370,9920,22861,57636,91297,73770,53677,26221,8743,8445
Lassen Volcanic,1999,7984,5431,5811,5826,17568,41215,84288,83530,52602,30677,10292,8532
Lassen Volcanic,1998,6963,6260,10618,12012,10383,24921,72179,79809,57388,23696,6578,7242
Lassen Volcanic,1997,2596,5009,5474,5381,18595,61923,97613,104750,44010,27271,10515,8679
Lassen Volcanic,1996,3470,5773,6809,4650,12437,35083,88750,97312,62095,25710,4962,4581
Lassen Volcanic,1995,5757,8803,5115,5996,14145,25848,74212,99187,71827,31283,7073,1755
Lassen Volcanic,1994,10657,7457,6970,10125,27199,61816,80683,93276,49622,24729,6119,6836
Lassen Volcanic,1993,17267,18225,15394,10755,15543,37410,94632,101554,74136,31345,10649,7354
Lassen Volcanic,1992,22682,21960,15530,13316,30906,62316,90437,92052,60165,32731,10838,15078
Lassen Volcanic,1991,9186,8307,24226,11533,22124,51216,98460,110739,68746,35830,10427,12385
Lassen Volcanic,1990,16414,19210,15164,12644,24956,58689,101633,90707,66759,32766,12198,9777
Lassen Volcanic,1989,21739,20611,16028,12918,25749,62309,94132,97916,67265,28809,9777,8862
Lassen Volcanic,1988,25002,23577,13647,10059,24894,69321,100712,106135,58432,34823,16446,12580
Lassen Volcanic,1987,22367,22453,18059,17094,33162,58357,89569,102701,54022,27398,12933,14316
Lassen Volcanic,1986,21531,19152,21528,11637,19632,48147,95167,99230,57820,22512,11529,11838
Lassen Volcanic,1985,31239,23366,16207,11749,26384,52068,86796,89822,56650,22984,7236,26996
Lassen Volcanic,1984,30588,22923,18566,14988,16557,48210,90408,99345,57198,20694,15420,28378
Lassen Volcanic,1983,29141,24445,17131,16816,10457,33064,78365,90888,67114,26010,17307,19129
Lassen Volcanic,1982,20150,17318,12535,7830,11088,43581,91128,91506,64048,21482,13846,20347
Lassen Volcanic,1981,19093,27359,15812,14501,16801,50258,84309,89715,52204,20097,10243,14653
Lassen Volcanic,1980,20881,16295,18737,10874,12253,44966,78293,88487,55907,21550,10080,16102
Lassen Volcanic,1979,22948,20517,14601,10746,11302,44720,71374,85514,56026,24451,9160,8655
Pinnacles,2025,30342,26892,44670,39378,37144,33717,28051,23931,18010,16898,20859,23316
Pinnacles,2024,21517,20006,44547,35849,36859,32430,24309,24940,23964,25615,33745,30295
Pinnacles,2023,11164,21898,26109,56339,43708,26468,38823,22034,21513,23037,23851,26276
Pinnacles,2022,27724,30673,34712,23642,27948,22256,19551,19330,13898,17184,21697,16408
Pinnacles,2021,26793,31316,38402,39597,40064,37029,29502,18765,21721,23448,23187,19033
Pinnacles,2020,23959,22021,18537,1635,4640,10364,10508,8526,5850,15722,23139,20839
Pinnacles,2019,1154,11735,24681,16234,19398,19061,13016,16795,14165,14084,14786,12115
Pinnacles,2018,15909,18793,22351,25902,24843,27164,12797,15122,13192,13799,15851,16429
Pinnacles,2017,12696,13476,28618,34773,24776,20556,20705,15826,12781,15829,15473,17825
Pinnacles,2016,13054,20009,24605,27035,23360,17569,18818,16784,13419,10663,13980,16259
Pinnacles,2015,18108,17557,24192,26243,22618,16380,18472,13230,10757,12442,12918,13616
Pinnacles,2014,15750,15335,20755,26227,21392,16838,15620,15317,13058,11070,12165,13108
Pinnacles,2013,17476,17962,24165,33487,25714,22021,23316,21017,11120,14804,13969,12626
Pinnacles,2012,13206,13617,18340,25586,19532,16685,17682,15912,8294,25848,23022,26752
Pinnacles,2011,9596,28625,22316,28524,59878,33691,43868,52993,38294,25698,22984,26752
Pinnacles,2010,8594,11949,31234,46729,36225,12191,18589,27740,22176,11186,10486,9476
Pinnacles,2009,10531,9937,22877,24219,15938,11841,13668,13936,12659,10189,12954,12363
Pinnacles,2008,9246,10297,17836,30528,15061,11163,12077,14877,15065,11681,9846,9311
Pinnacles,2007,10006,11119,17662,30226,15504,11041,12406,13598,8144,13373,10652,7288
Pinnacles,2006,8008,14584,11086,31258,17503,13147,12172,12845,9259,12188,10016,6758
Pinnacles,2005,11393,10988,25265,25219,19579,13161,12179,13977,10772,11602,10031,6828
Pinnacles,2004,10153,10945,19529,21778,19483,13243,12731,12643,9273,10071,9923,7625
